Title,Explain,TestPoint,Answer,OptionA,OptionB,OptionC,OptionD,OptionE,StyleType,AllTestID,ATestID,SrcID,SbjID,CptID,章节名称,科目名称,试题名称
可疑神经管缺陷的羊水过多孕妇，最常应用的检测方法是,测定血胎盘生乳素值、血雌三醇值属于胎盘功能检查；测定羊水卵磷脂／鞘磷脂比值属于胎儿成熟度检查；测定甲胎蛋白(AFP)，可用于诊断胎儿开放性神经管缺陷,,D,血HCG值,血肌酐值,血雌三醇值,血甲胎蛋白值,羊水卵磷脂／鞘磷脂比值,ATEST,39000160,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
28岁已婚妇女，停经50日突觉右下腹剧痛伴休克，面色苍白。为确诊最简便、有效的辅助诊断方法是,该患者停经50天，右下腹剧痛伴休克，考虑异位妊娠。有腹腔内出血的症状，应行阴道后穹窿穿刺，陈旧性宫外孕时可抽出小块或不凝固的陈旧血液。,,A,阴道后穹窿穿刺,尿妊娠试验,B超检查,宫腔镜检查,腹腔镜检查,ATEST,39000163,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
用硫酸镁治疗妊娠期高血压疾病，最早出现的中毒症状是,在治疗妊娠期高血压疾病时解痉的首选药物为硫酸镁。镁离子抑制运动神经末梢释放乙酰胆碱，阻断神经肌肉接头间的信息传导，使骨骼肌松弛。镁离子中毒时，首先表现为膝反射减弱或消失，继之出现全身肌张力减退、呼吸困难、复视、语言不清，严重者可出现呼吸肌麻痹，甚至呼吸停止、心脏停搏，危及生命。,,E,心率减慢,呼吸次数减少,血压降低,循环衰竭,膝反射消失,ATEST,39000164,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
连续12小时测胎动次数，提示为胎儿窘迫应小于,胎心率变化（不在120-160之间）；羊水胎粪污染Ⅲ度；胎动异常（＜10次/12H）；晚期减速；NST无反应(无宫缩时的胎心监护)；OCT阳性(催产素诱导宫缩后的胎心监护),,A,10次,15次,20次,25次,30次,ATEST,39000167,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
女，28岁。剖宫产术后3天，突发气促、大汗，立即给予面罩氧气吸入(吸入氧浓度50%)，不能改善而转科。查体：BP90／60mmHg，R38次／分。端坐呼吸，口唇发绀，双肺布满湿啰音和少量哮鸣音。WBC11.3×10[SB9.gif]／L，N87%。为进一步诊断最需要的检查是,①急性呼吸窘迫综合征多发生于原心肺功能正常的患者，由于肺外或肺内的严重疾病引起的肺毛细血管炎症性损伤，通透性肺水肿和进行性缺氧性呼吸衰竭。患者剖宫产手术后3天出现憋气症状，由症状体征可诊为急性呼吸窘迫。所以本题选A。②急性呼吸窘迫综合征至今由于缺乏特异的检测指标，给早期带来困难。凡有可能引起ARDS的各种基础疾病或诱因，一旦出现呼吸改变或血气异常，均应警惕有本征发生的可能。为明确诊断，需进一步行动脉血气分析。故本题选D。,,D,腹部B超,心脏彩超,X线检查,动脉血气检查,通气／灌注ECT,ATEST,39000168,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
关于分娩的概念正确的是,妊娠满37周至不满42足周分娩为足月产。妊娠42周之后分娩为过期产。妊娠28周至不满37足周之间终止妊娠者为早产。妊娠不足28周、胎儿体重不足1000g而终止者，称为流产。妊娠20周后的胎儿在子宫内死亡称死胎，胎儿在分娩过程中死亡称死产，是死胎的一种。由此可见，只有A正确。,,A,妊娠满37周至不满42足周分娩为足月产,妊娠43周之后分娩为过期产,妊娠28周至37周分娩为早产,妊娠28周及28周以内分娩为流产,临产后胎儿死亡为死胎,ATEST,39000169,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
可能引起二重感染、再生障碍性贫血和灰婴综合征的抗生素是,氯霉素可引起二重感染、再生障碍性贫血和灰婴综合征。,,E,灰黄霉素,二性霉素,四环素,制霉菌素,氯霉素,ATEST,43000562,,9,39,396,章节练习,基础医学综合-药理学,四环素类及氯霉素
立克次体感染宜选,氯霉素四环素多西环素(强力霉素)等对各种立克次体病均有相当疗效多四环素在国内某些报告中的疗效尤为突出可使发热和其它症状及早消退病程明显缩短病死率大幅度下降。,四环素类抗生素,B,链霉素,四环素,磺胺嘧啶,阿奇霉素,多黏菌素,ATEST,43002769,,9,39,396,章节练习,基础医学综合-药理学,四环素类及氯霉素
伤寒宜选,氯霉素，属抑菌性广谱抗生素。是治疗伤寒、副伤寒的首选药，治疗厌氧菌感染的特效药物之一，其次用于敏感微生物所致的各种感染性疾病的治疗。,抗菌药,C,四环素,多西环素,氯霉素,氨苄西林,白霉素,ATEST,43002770,,9,39,396,章节练习,基础医学综合-药理学,四环素类及氯霉素
支原体肺炎宜选,大环内酯类是支原体肺炎的首选抗菌药物，阿奇霉素为治疗首选。此外，尚有林可霉素、氯林可霉素、万古霉素及磺胺类等可供选用。,四环素类抗生素,E,青霉素,氯霉素,土霉素,多西环素,万古霉素,ATEST,43002771,,9,39,396,章节练习,基础医学综合-药理学,四环素类及氯霉素
