Title,Explain,TestPoint,Answer,OptionA,OptionB,OptionC,OptionD,OptionE,StyleType,AllTestID,ATestID,SrcID,SbjID,CptID,章节名称,科目名称,试题名称
对感染性腹泻进行监测应选择的疾病频率测量指标是,"发病率表示在一定期间内，一定人群中某病新发生的病例出现的频率。是反映疾病对人群健康影响和描述疾病分布状态的一项测量指标。

　　【避错】①罹患率一般用于衡量小范围、短时间的发病频率，以月、周、日或一个流行期为时间单位。可以根据暴露程度精确的测量发病几率，多用于描述食物中毒、职业中毒及传染病的暴发流行。②现患率也称患病率，是指某特定事件内总人口中某病新旧病例。患病率可按观察时间的不同分为期间患病率和时点患病率两种，对慢性病进行现况调查，最适宜计算的指标为患病率。③病死率是表示一定时期内，患某病的全部患者或动物中因该病死亡者所占的比例。",,D,期间患病率,现患率,罹患率,发病率,病残率,ATEST,43024618,,3,18,898,历年真题,历年真题,2017年真题第二单元
主要由自身反应性T细胞介导的自身免疫性疾病是,"髓鞘碱性蛋白（MBP）特异性Th1细胞在小鼠可引起实验性自身免疫性脑脊髓炎，人类的多发性硬化的发病机制与此类似。
　　【避错】①肺出血-肾炎综合征可能系病毒感染和（或）吸入某些化学性物质引起原发性肺损害，由于肺泡壁毛细血管基膜和肾小球基底膜存在交叉反应抗原，非自身反应性T细胞介导。②链球菌感染后肾小球肾炎主要是由于感染所诱发的免疫反应引起，多认为链球菌的胞浆或分泌蛋白的某些成分可能为主要致病抗原，诱发免疫反应后可通过循环免疫复合物沉积于肾小球而致病，肾小球内的免疫复合物导致补体激活、中性粒细胞和单核细胞浸润，引发肾脏病变。",,E,链球菌感染后肾小球肾炎,系统性红斑狼疮,肺出血-肾炎综合征,血小板减少性紫癜,多发性硬化,ATEST,43024619,,3,18,898,历年真题,历年真题,2017年真题第二单元
某地区成年人的首位死因是心脏病，下列各项措施中不属于该地区优先防治策略的是,"大力发展心脏专科医院，为患者提供心脏介入治疗属于二级预防，不是一级预防。
　　【避错】①第一级预防又称病因预防。是指针对病因所采取的预防措施。如果在疾病的因子还没有进入环境之前就采取预防性措施，称为根本性预防。②第二级预防在疾病的临床前期做好早期发现、早期诊断、早期治疗的三早预防工作。对于传染病，还需做到疫情早报告及患者早隔离，即五早。③第三级预防对已患病的患者，采取及时、有效的治疗措施，防止病情恶化，预防并发症和伤残。",,D,通过媒体倡导居民增加身体活动,在社区人群中开展减少心脏病危险因素的咨询,加强公共场所与工作场所的控烟,大力发展心脏专科医院，为患者提供心脏介入冶疗,以高胆固醇血症和家族史为指标,ATEST,43024620,,3,18,898,历年真题,历年真题,2017年真题第二单元
属于影响行为的倾向因素的是,"影响行为的倾向因素，通常是产生某种行为的动机或愿望，或是诱发产生某种行为的因素。主要包括知识、态度、信念及价值观。态度是人们在自身道德观和价值观基础上对事物的评价和行为倾向。
　　【避错】责任是一种职责和任务，身处社会的个体成员必须遵守的规则和条文，带有强制性。法律通常是指由社会认可国家确认立法机关制定规范的行为规则，并由国家强制力保证实施的，以规定当事人权利和义务为内容的，对全体社会成员具有普遍约束力的一种特殊行为规则。",,A,态度,资源,政策,法律,奖励,ATEST,43024621,,3,18,898,历年真题,历年真题,2017年真题第二单元
甘油三酯合成的基本原料是,"甘油三酯合成的基本原料包括甘油和脂肪酸。
　　【避错】人体可利用甘油、糖、脂肪酸和甘油一酯为原料，经过磷脂酸途径和甘油一酯途径合成甘油三酯。",,A,甘油,胆固醇酯,胆碱,鞘氨醇,胆固醇,ATEST,43024622,,3,18,898,历年真题,历年真题,2017年真题第二单元
呈对数正态分布的数值变量资料，描述集中趋势的指标最好选用,"几何均数也称对数平均数，是用于反映一组经对数转换后呈对称分布的变量值在数量上的平均水平。对于变量值呈倍数关系或呈对数正态分布（正偏态分布），如抗体效价及抗体滴度，某些传染病的潜伏期，细菌计数等，宜用几何均数表示其平均水平。
　　【避错】平均数是表示一组数据集中趋势的量数，它是反映数据集中趋势的一项指标。算术均数，简称均数，用于说明一组观察值的平均水平或集中趋势，是描述计量资料的一种最常用的方法。调和平均数又称倒数平均数，是总体各统计变量倒数的算术平均数的倒数，主要是用来解决在无法掌握总体单位数（频数）的情况下，只有每组的变量值和相应的标志总量，而需要求得平均数的情况下使用的一种数据方法。",,A,几何均数,众数,算术均数,调和均数,中位数,ATEST,43024623,,3,18,898,历年真题,历年真题,2017年真题第二单元
下列不参与肝生物转化第二相反应的酶是,"肝生物转化第一相反应主要是氧化、还原和水解反应。肝生物转化第二相反应主要是结合反应。A、B、D、E均为参与肝生物转化第二相反应的酶。
　　【避错】肽基转移酶参与mRNA翻译为肽链的过程，可催化核糖体A位tRNA上末端氨基酸的氨基与P位肽酰-tRNA上氨基酸的羧基间形成肽键。",,C,硫酸基转移酶,谷胱甘肽-s-转移酶,肽基转移酶,葡萄糖醛酸基转移酶,甲基转移酶,ATEST,43024624,,3,18,898,历年真题,历年真题,2017年真题第二单元
肺换气的驱动力是,"肺换气是指肺泡与肺毛细血管血液之间的气体交换过程。呼吸膜两侧气体分压梯度为肺换气的驱动力。
　　【避错】B、C、E均为肺通气的影响因素。",,A,呼吸膜两侧气体分压梯度,呼吸膜气体交换面积,呼吸膜通透性,气体分子与血红蛋白亲和力,气体分子溶解度,ATEST,43024625,,3,18,898,历年真题,历年真题,2017年真题第二单元
符合良性高血压血管病变的是,"细动脉硬化表现为细动脉玻璃样变，是良性高血压病的基本病变。
　　【避错】良性高血压痛也称缓进型高血压病，根据病变进程可将本病分为三期：功能紊乱期、动脉系统病变期、内脏病变期。细动脉玻璃样变属于动脉系统病变期。",,E,小动脉外膜纤维增生,小动脉玻璃样变性,细动脉胶原纤维增生,细动脉平滑肌增生,细动脉玻璃样变性,ATEST,43024626,,3,18,898,历年真题,历年真题,2017年真题第二单元
某人做事总是风风火火，速度很快，脾气暴躁，缺乏耐心，而且时不时会出些错误。其气质类型属于,"胆汁质：反应迅速，情绪有时激烈、冲动、缺乏耐心。
　　【避错】多血质：外向、活泼好动、善于交际；思维敏捷；容易接受新鲜事物；情绪情感容易产生也容易变化和消失、容易外露；体验不深刻等。黏液质：情绪稳定、有耐心、自信心强。抑郁质：内向、言行缓慢、优柔寡断。无多动质类型。",,A,胆汁质,多血质,黏液质,多动质,抑郁质,ATEST,43024627,,3,18,898,历年真题,历年真题,2017年真题第二单元
有权对收受药物经营企业财务的医务人员做出没收违法所得的处罚的单位是,"卫生计生部门行政部门有权对收受药物经营企业财务的医务人员做出没收违法所得。
　　【避错】《中华人民共和国药品管理法》第91条规定：医疗机构的负责人、药品采购人员、医师等有关人员收受药品生产企业、药品经营企业或者其代理人给予的财物或者其他利益的，由卫生行政部门或者本单位给予处分，没收违法所得；对违法行为情节严重的执业医师，由卫生行政部门吊销其执业证书；构成犯罪的，依法追究刑事责任。",,A,卫生计生行政部门,公安机关,食品药品监督管理部门,医师协会,工商行政管理部门,ATEST,43024628,,3,18,898,历年真题,历年真题,2017年真题第二单元
医疗机构临床用血管理的第一责任人是,"《医疗机构临床用血管理办法》第7条规定：医疗机构应当加强组织管理，明确岗位职责，健全管理制度。医疗机构法定代表人为临床用血管理第一责任人。
　　【避错】A、B、C、D选项都不是医疗机构临床用血管理的第一责任人。",,E,临床用血的医师,医疗机构输血科主任,临床用血所在科室的负责人,临床用血医师的上级医师,医疗机构法定代表人,ATEST,43024629,,3,18,898,历年真题,历年真题,2017年真题第二单元
医疗保险制度的资金来源主要是,"医疗保险基金包括社会统筹基金和个人帐户两部分，由用人单位和职工个人按一定比例共同缴纳。
　　【避错】记忆性题。",,B,个人、保险公司、政府,个人、集体、国家,职工、雇主、保险公司,职工、雇主、保险公司,个人、单位、保险公司,ATEST,43024630,,3,18,898,历年真题,历年真题,2017年真题第二单元
下列食物未煮熟时易导致食物中毒的是,"如果四季豆未煮熟，豆中的皂素会强烈刺激消化道，而且豆中含有凝血素，具有凝血作用。此外四季豆中还含有亚硝酸盐和胰蛋白酶，可刺激人体的肠胃，使人食物中毒，出现胃肠炎症状。为了防止出现四季豆中毒，一定要将四季豆煮透、煮熟。
　　【避错】A、B、C、D选项未煮熟时不会引起食物中毒。",,E,赤豆,豌豆,荷兰豆,绿豆,四季豆,ATEST,43024631,,3,18,898,历年真题,历年真题,2017年真题第二单元
，有关DNA碱基组成规律的叙述，错误的是,"DNA的碱基组成规律即Chargaff规则。①所有DNA分子中，嘌呤碱总摩尔数等于嘧啶碱总摩尔数。②DNA的碱基组成具有种属的特异性，即不同生物种属的DNA具有各自独特的碱基组成。③DNA的碱基组成没有组织、器官的特性。④生物体内DNA的碱基组成不受年龄、营养状态和环境的改变等影响。
　　【避错】本题记忆为主。",,D,适用于不同种属,嘌呤与嘧啶分子相等,与遗传特性有关,主要有腺嘌呤组成,不受年龄与营养状态影响,ATEST,43024632,,3,18,898,历年真题,历年真题,2017年真题第二单元
可以引起菌血症的细菌是,"伤寒沙门菌入侵肠黏膜，经淋巴管进入肠道淋巴组织及肠系膜淋巴结继续繁殖，再由胸导管进入血流，引起第一次菌血症。此阶段属潜伏期，患者无症状。伤寒沙门菌随血流进入肝脾、胆囊、骨髓等组织器官内继续大量繁殖，再次进入血流引起第二次菌血症，释放内毒素，产生临床症状（相当于初期），病程第2~3周，伤寒沙门菌继续随血流播散全身，经胆囊进入肠道，大量细菌从粪便排出。
　　【避错】菌血症多是细菌由局部病灶入血，全身无中毒症状，但血液中可查到细菌。毒血症是全身感染的一种类型，是指病原菌在侵入的局部组织中生长繁殖后，只有其产生的外毒素进入血循环，病原菌不入血。外毒素经血到达易感的组织和细胞，引起特殊的毒性症状。A、B、C、D选项均为毒血症。",,E,肉毒梭菌,霍乱弧菌,白喉棒状杆菌,破伤风梭菌,伤寒沙门菌,ATEST,43024633,,3,18,898,历年真题,历年真题,2017年真题第二单元
健康促进的核心策略包括,"健康促进的基本策略分为倡导、赋权、协调和社会动员。社会动员为健康促进的核心策略。
　　【避错】社会动员是通过一系列综合的、高效的动员社会的策略和方法，促使社会各阶层广泛地主动参与，把健康教育、健康促进的目标转化成满足广大社区居民健康需求的社会目标，并转变为社区成员共同的社会行动，进而实现这一社会健康目标的过程。",,C,保护环境,职业卫生,社会动员,疾病控制,学校卫生,ATEST,43024634,,3,18,898,历年真题,历年真题,2017年真题第二单元
肿瘤相关抗原通常不能诱导有效抗肿瘤免疫的原因是,"肿瘤相关抗原多为自身抗原，与正常蛋白差别性很小，故免疫原性弱，无法诱导机体产生足够强度的抗肿瘤免疫应答清除肿瘤细胞。
　　【避错】肿瘤相关抗原是指一些肿瘤细胞表面糖蛋白或糖脂成分，它们在正常细胞上有微量表达，但在肿瘤细胞表达明显增高。此类抗原一般可被B细胞识别并产生相应的抗体。",,C,无诱导抗体产生能力,表达量低,多为自身抗原,MHCⅡ分子表达低,多为T1抗原,ATEST,43024635,,3,18,898,历年真题,历年真题,2017年真题第二单元
在突触传递过程中，触发神经末梢递质释放的关键因素是,"当神经元的兴奋传递到神经末梢时，突触前膜去极化，当去极化达到一定水平后，突触前膜的电压门控Ca[SB2jia.gif]通道开放。Ca[SB2jia.gif]从细胞外进入突触前膜轴浆内，导致轴浆内Ca[SB2jia.gif]浓度瞬时升高，触发突触囊泡出胞。在这一过程中，Ca[SB2jia.gif]的转移很重要。如果减少细胞外Ca[SB2jia.gif]浓度，则递质释放就受到抑制；而增加细胞外Ca[SB2jia.gif]的浓度则递质释放增加。
　　【避错】肌接头由“接头前膜—接头间隙—接头后膜（终板膜）”组成。终板膜上有ACh受体，即N2型ACh受体阳离子通道。当神经纤维传来的动作电位到达神经末梢时，神经兴奋→接头前膜去极化→前膜对Ca[SB2jia.gif]通透性增加→Ca[SB2jia.gif]内流→ACh囊泡破裂释放→ACh进入接头间隙→ACh与终板膜上的ACh受体结合→终板膜对Na[SBjia.gif]通透性增高→Na[SBjia.gif]内流→产生终板电位→总和达阈电位时→产生肌膜动作电位。",,B,末梢内囊泡数量增加,Ca[SB2jia.gif]进入末梢内,末梢膜发生超极化,末梢膜上K[SBjia.gif]通道激活,末梢内线粒体数量增加,ATEST,43024636,,3,18,898,历年真题,历年真题,2017年真题第二单元
慢性肾盂肾炎大体描述正确的是,"慢性肾盂肾炎肉眼观双肾不对称性缩小，可有凹陷性瘢痕，肾盂、肾盏变形。
　　【避错】A项见于慢性肾小球肾炎。B项见于膜性肾小球肾炎。C项见于急性弥漫性增生性肾小球肾炎。",,D,肾弥漫性颗粒状,肾肿大、苍白,肾表面散在出血点,肾不对称性缩小,肾弥漫性肿大,ATEST,43024637,,3,18,898,历年真题,历年真题,2017年真题第二单元
多肽链中肽键的本质是,"肽键是一分子氨基酸的α-羧基和一分子氨基酸的α-氨基脱水缩合形成的酰胺键，即-CO-NH-，氨基酸借肽键联结成多肽链。
　　【避错】磷酸二酯键是两个核苷酸分子核苷酸残基的两个羟基分别与同一磷酸基团形成的共价连接键。二硫键是在肽脱水缩合过程同时，位于两不同肽基上的2个-SH基被氧化而形成的-S-S-形式的硫原子间的键。糖苷键是糖苷分子中糖基和配基的连接键。疏水键是多肽链上的某些氨基酸的疏水基团或疏水侧链（非极性侧链），由于避开水而造成相互接近、黏附聚集在一起，它在维持蛋白质三级结构方面占有突出地位。",,D,磷酸二酯键,二硫键,糖苷键,酰胺键,疏水键,ATEST,43024638,,3,18,898,历年真题,历年真题,2017年真题第二单元
关于DNA变性概念叙述，错误的是,"变性后的DNA具有增色效应，指变性后DNA溶液的紫外吸收作用增强的效应。DNA分子中碱基间电子的相互作用使DNA分子具有吸收260nm波长紫外光的特性。
　　【避错】DNA变性是指核酸双螺旋碱基对的氢键断裂，双链变成单链，从而使核酸的天然构象和性质发生改变。变性时维持双螺旋稳定性的氢键断裂，碱基间的堆积力遭到破坏，但不涉及到其一级结构的改变。凡能破坏双螺旋稳定性的因素，如加热、极端的pH、有机试剂甲醇、乙醇、尿素及甲酰胺等，均可引起核酸分子变性。",,A,变性后260nm波长吸收不改变,变性时两条链解离,变性时二级结构被破坏,变性不伴有共价键断裂,加热可导致变性,ATEST,43024639,,3,18,898,历年真题,历年真题,2017年真题第二单元
免疫缺陷患者不可接种的疫苗是,"凡患有免疫缺陷病、白血病和恶性肿瘤以及因放射治疗、脾切除而使免疫功能受到抑制者，均不能使用活疫苗。
　　【避错】A、B、D、E四种疫苗对于免疫缺陷患者均可接种。",,C,灭活脊髓灰质炎疫苗,流行性出血热疫苗,麻疹活疫苗,多糖疫苗,重组乙型肝炎疫苗,ATEST,43024640,,3,18,898,历年真题,历年真题,2017年真题第二单元
治疗变异型心绞痛的药物是,"钙离子拮抗剂可阻断Ca[SB2jia.gif]内流降低平滑肌细胞内Ca[SB2jia.gif]浓度，能解除冠脉痉挛缓解心绞痛并预防缺血发作，是血管痉挛性心绞痛（即变异型心绞痛）的首选药。
　　【避错】普萘洛尔属于β受体阻滞剂，因其有加重冠脉痉挛的可能，一般不宜用于治疗变异性心绞痛。",,C,多巴胺,肾上腺素,维拉帕米,麻黄碱,普萘洛尔,ATEST,43024641,,3,18,898,历年真题,历年真题,2017年真题第二单元
流行病学研究的观察法与实验法的根本区别在于,"观察法要求观察者对被观察对象不施加任何影响，真实观察并记录；实验法强调根据研究目标的需要而改变试验对象的生活条件，在改变的环境下观察试验对象的行为反应。
　　【避错】流行病学研究方法总体分为：①观察法：包括描述流行病学和分析流行病学；②实验法，也称实验流行病学；③数理法，也称理论流行病学。",,B,盲法,是否有人为干预,统计学检验,设立对照组,不设立对照组,ATEST,43024642,,3,18,898,历年真题,历年真题,2017年真题第二单元
“无论是致病、治疗，还是预防和康复都应将人视为一个整体，需要考虑各方面因素的交互作用，而不能机械地将他们分割开”。此观点所反映的医学模式是,"生物-心理-社会医学模式是一种系统论和整体观的医学模式，他要求医学把人看成是一个多层次、完整的连续体，也就是在健康和疾病问题上，要同时考虑生物的、心理和行为的，以及社会的各种因素的综合作用。
　　【避错】医学模式又叫医学观，是人们考虑和研究医学问题时所遵循的总的原则和总的出发点即是人们从总体上认识健康和疾病以及相互转化的哲学观点。医学模式的演变：①神灵主义医学模式；②自然哲学的医学模式；③机械论的医学模式；④生物医学模式；⑤生物-心理-社会医学模式。",,B,自然哲学的医学模式,生物-心理-社会医学模式,神灵主义的医学模式,机械论医学模式,生物医学模式,ATEST,43024643,,3,18,898,历年真题,历年真题,2017年真题第二单元
关于青少年情绪、情感的特点，以下说法不正确的是,"青少年情感丰富且不稳定。青春期的发育不成熟，高级神经活动兴奋和抑郁过程的强弱与不平衡，往往表现为青年人易动感情、情感比较强烈，遇事容易激动，同时存在多种情绪状态。
　　【避错】青少年情绪的特点：①变化迅速，但不持久；②比较强烈，但相对脆弱；③容易冲动，缺乏理智控制；④敏感，多愁善感。",,E,情绪敏感,情绪反应强烈,情绪心境化,情感丰富,情绪稳定,ATEST,43024644,,3,18,898,历年真题,历年真题,2017年真题第二单元
选定暴露和未暴露于某种因素的两种人群，追踪其各自的发病结局，比较两者发病结局的差异，从而判断暴露因素与发病有无因果关联及关联程度，该研究为,"队列研究是将某一特定人群按是否暴露于某可疑因素或暴露程度分为不同的亚组，追踪观察两组或多组成员结局（如疾病）发生的情况，比较各组之间结局发生率的差异，从而判定这些因素与该结局之间有无因果关联及关联程度的一种观察性研究方法。从现在到将来属于队列研究。
　　【避错】①病例对照研究是比较患某病者与未患该病的对照者既往暴露于某个（或某些）可能危险因素的百分比差异，以判断这些因素与该病有无关联及关联程度大小的观察性研究方法。②临床试验指任何在人体（患者或健康志愿者）进行药物的系统性研究，以证实或揭示试验药物的作用、不良反应及（或）试验药物的吸收、分布、代谢和排泄，目的是确定试验药物的疗效与安全性。③现况研究是研究特定时点或时期与特定范围内人群中的有关变量（因素）与疾病或健康状况的关系，即是调查这个特定的群体中的个体是否患病和是否具有某些变量或特征的情况。",,C,病例对照研究,现场干预试验,队列研究,临床试验研究,现况研究,ATEST,43024645,,3,18,898,历年真题,历年真题,2017年真题第二单元
磷酸戊糖途径的主要产物之一是,"磷酸戊糖途径可产生大量的NADPH，为细胞的各种合成反应提供还原剂（力），比如参与脂肪酸和固醇类物质的合成。
　　【避错】磷酸戊糖途径是一个葡萄糖-6-磷酸经代谢产生NADPH和核糖-5-磷酸的途径。该途径包括氧化和非氧化两个阶段，在氧化阶段，葡萄糖-6-磷酸转化为核酮糖-5-磷酸和CO[XB2.gif]，并生成两分子的NADPH；在非氧化阶段，核酮糖-5-磷酸异构化生成核糖-5-磷酸或转化为酵解中的两个中间代谢物果糖-6-磷酸和甘油醛-3-磷酸。",,A,NADPH,FMN,CoQ,cAMP,ATP,ATEST,43024646,,3,18,898,历年真题,历年真题,2017年真题第二单元
血浆蛋白浓度降低所致水肿的原因是,"人体血浆浓度维持着人体组织液与血浆之间的渗透压平衡。当人体的血浆蛋白浓度降低时，就会出现组织液浓度大于血浆浓度，使血浆中的水分转移至组织液中，以降低组织液浓度使渗透压重新平衡。然而这样一来，就造成了组织水肿。
　　【避错】引起水肿的原因：血浆胶体渗透压降低；毛细血管内流体静压升高；毛细血管壁通透性增高；淋巴液回流受阻。",,A,血浆胶体渗透压降低,动脉血压升高,毛细血管壁通透性增加,淋巴回流量减少,组织液静水压升高,ATEST,43024647,,3,18,898,历年真题,历年真题,2017年真题第二单元
医疗机构使用非卫生技术人员从事医疗卫生技术工作应给予罚款处罚，其最高金额是,"《医疗机构管理条例》48条：违反本条例第28条规定，使用非卫生技术人员从事医疗卫生技术工作的，由县级以上人民政府卫生行政部门责令其限期改正，并可以处以5000元以下的罚款；情节严重的，吊销其《医疗机构执业许可证》。
　　【避错】本题记忆为主。",,A,5千元,8千元,2千元,1万元,3千元,ATEST,43024648,,3,18,898,历年真题,历年真题,2017年真题第二单元
医务人员必须经过省级卫生计生行政部门考核并取得相应合格证书方可从事的母婴保健服务项目是,"《中华人民共和国母婴保健法》第33条规定从事本法规定的遗传病诊断、产前诊断的人员，必须经过省、自治区、直辖市人民政府卫生行政部门的考核，并取得相应的合格证书。
　　【避错】从事本法规定的婚前医学检查、施行结扎手术和终止妊娠手术的人员以及从事家庭接生的人员，必须经过县级以上地方人民政府卫生行政部门的考核，并取得相应的合格证书。",,C,结扎手术,家庭接生,产前诊断,婚前医学检查,终止妊娠手术,ATEST,43024649,,3,18,898,历年真题,历年真题,2017年真题第二单元
与CO[XB2.gif]呼出量关系最密切的肺功能指标是,"肺泡通气量是指每分钟吸入或呼出肺泡的气体总量，它是与直接进行气体交换的有效通气量，是与CO[XB2.gif]呼出量关系最密切的肺功能指标。
　　【避错】①肺通气量指单位时间内出入肺的气体量。一般指肺的动态气量，它反映肺的通气功能，肺通气量可分为每分通气量、最大通气量、无效腔气量和肺泡通气量等。②肺活量是指一次尽力吸气后，再尽力呼出的气体总量，在一定意义上可反映呼吸机能的潜在能力。③最大通气量是指肺功能测定时，单位时间内所能呼吸的最大气量。④用力呼气量是指在一定的时间内一次最大吸气后再尽快尽力呼气所能呼出的气体量。",,C,肺通气量,肺活量,肺泡通气量,最大通气量,用力呼气量,ATEST,43024650,,3,18,898,历年真题,历年真题,2017年真题第二单元
属于乳腺癌特殊类型的是,"浸润性特殊型癌分为：乳头状癌、髓样癌（伴大量淋巴细胞浸润）、小管癌、腺样囊性癌、顶泌汗腺样癌、黏液腺癌、鳞状细胞癌、乳头Paget病等。
　　【避错】乳腺癌分为：非浸润性癌（小叶原位癌、导管内癌）、浸润性癌（浸润性特殊癌、浸润性非特殊癌）两类。其中浸润性非特殊型癌可分为：浸润性小叶癌、浸润性导管癌、硬癌、髓样癌（无大量淋巴细胞浸润）、单纯癌、腺癌等。",,D,浸润性导管癌,导管原位癌,浸润性小叶癌,小管癌,小叶原位癌,ATEST,43024651,,3,18,898,历年真题,历年真题,2017年真题第二单元
